Symbol,Company,LockdownHero,Seb,Mini_Maus,Max,Julius_K.,Tyskie,Trichter,Russki,dax.asd,AaronB,m,Ron,Rambo,tg,henry,Mathias,XiL,JulianJ,RiskManagementatLehmanBrothers,T_Crash,Jonas,FTK97,LoKo,Nonic,elv11,Hametz,Lotta,la.gro,WirecardCFO,Benni,Lucifer,jr,Adeena,Trader_Tom,Christian,MaxSch.,themax,Sebb,tt,Lenawski,Roman,TimS,Taki,collier,Connie,Mike,tothemoon
ADS.DE,Adidas,0,0,0,20,0,0,1,0,139,0,0,0,0,0,0,100,0,0,0,5,80,0,0,0,12,0,0,25,0,0,0,0,0,0,7,50,0,0,0,0,0,0,0,0,0,0,80
AIR.DE,Airbus,0,291,100,0,0,100,0,0,309,300,0,0,30,200,0,0,100,0,0,75,125,0,0,200,0,100,0,25,0,88,0,10,0,0,25,0,100,0,160,0,40,88,0,0,20,0,100
ALV.DE,Allianz,0,0,0,0,0,100,300,56,59,0,50,120,80,0,100,0,0,0,0,25,0,0,0,100,17,0,0,75,0,0,0,0,0,0,12,0,0,0,0,0,50,50,0,50,0,0,50
BAS.DE,BASF,0,0,100,0,0,10,0,0,232,0,0,0,100,0,309,0,0,0,0,100,0,5000,0,0,51,0,0,0,0,116,0,0,100,0,38,0,100,0,0,175,0,0,100,60,0,310,0
BAYN.DE,Bayer,0,0,0,100,0,0,0,232,521,0,0,0,10,0,0,400,0,0,0,50,0,1000,50,0,70,3,0,75,0,0,0,0,0,0,52,0,0,0,0,0,80,0,0,0,0,626,0
BMW.DE,BMW,0,0,0,0,0,10,0,0,289,0,0,0,0,0,0,200,0,0,0,125,0,2500,0,0,39,0,0,0,0,115,0,10,0,0,28,0,0,0,0,0,100,0,0,20,0,0,0
BNR.DE,Brenntag,415,0,100,0,0,0,0,139,313,0,0,0,10,0,0,0,0,0,0,25,1,0,120,0,41,0,0,0,0,125,0,10,0,0,31,0,0,0,0,230,20,0,100,0,20,0,0
CON.DE,Continental,0,0,0,0,0,0,0,114,256,0,0,0,40,0,0,0,0,0,0,15,0,10000,0,0,34,0,0,75,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0
1COV.DE,Covestro,0,0,0,0,0,10,0,0,424,0,200,0,0,0,0,0,0,0,0,0,20,0,0,0,56,0,0,50,0,85,0,10,0,0,42,0,0,0,0,0,0,170,100,0,0,0,0
DAI.DE,Daimler,0,0,100,250,0,10,0,0,303,300,0,0,40,200,0,0,0,485,0,150,0,2500,0,0,0,0,0,50,0,121,0,10,0,150,35,0,100,0,0,0,100,0,0,80,70,0,400
DHER.DE,Delivery Hero,0,0,0,0,0,10,150,0,136,0,0,0,0,100,0,0,0,0,181,0,0,0,0,0,0,0,274,50,0,114,0,0,50,273,22,0,100,0,249,0,0,0,100,100,0,0,0
